rank,player,team,hit_streak,games,at_bats,avg,hits,home_runs,rbi,runs,ops,sb,obp,slg,bb,doubles,triples,strikeouts,hit_str,hr_str,rbi_str,scraped_date
1,Zack Gelof,OAK,24,60,203,0.286,58,11,30,37,0.843,8,0.341,0.502,14,9,1,55,23,0,0,2026-06-22
2,Samad Taylor,SD,12,12,43,0.372,16,1,8,11,0.903,4,0.438,0.465,5,1,0,13,11,0,0,2026-06-22
3,Bryan Reynolds,PIT,12,77,274,0.285,78,10,48,50,0.871,5,0.4,0.471,49,17,2,70,11,0,0,2026-06-22
5,Carter Jensen,KC,12,70,235,0.238,56,9,38,33,0.724,1,0.303,0.421,23,16,0,72,11,0,0,2026-06-22
6,Pete Crow-Armstrong,CHC,10,77,290,0.286,83,16,40,47,0.884,18,0.363,0.521,28,12,4,82,10,0,5,2026-06-22
7,Liam Hicks,MIA,10,73,248,0.278,69,13,53,40,0.831,1,0.359,0.472,29,7,1,28,10,0,2,2026-06-22
8,Jake McCarthy,COL,10,62,195,0.292,57,5,28,26,0.802,11,0.335,0.467,13,13,3,40,9,0,0,2026-06-22
9,Vinnie Pasquantino,KC,8,68,254,0.224,57,6,32,28,0.659,3,0.309,0.35,32,10,2,51,8,0,2,2026-06-22
10,Anthony Volpe,NYY,7,27,86,0.267,23,1,13,16,0.76,6,0.376,0.384,15,5,1,20,7,0,0,2026-06-22
11,Trent Grisham,NYY,7,66,224,0.232,52,8,35,40,0.747,6,0.341,0.406,38,11,2,42,7,0,0,2026-06-22
12,Jacob Wilson,OAK,7,47,192,0.286,55,4,26,22,0.714,2,0.313,0.401,8,10,0,24,7,0,0,2026-06-22
13,Jake Burger,TEX,8,74,273,0.249,68,13,46,34,0.751,1,0.308,0.443,22,14,0,79,7,0,2,2026-06-22
14,Blake Perkins,MIL,6,46,83,0.157,13,1,11,12,0.5,3,0.247,0.253,9,5,0,22,6,0,0,2026-06-22
15,Kevin McGonigle,DET,7,73,273,0.282,77,6,26,47,0.818,9,0.389,0.429,46,16,3,42,6,0,0,2026-06-22
16,Jake Mangum,PIT,7,57,156,0.295,46,1,12,20,0.696,13,0.343,0.353,10,6,0,29,6,0,0,2026-06-22
17,Austin Slater,TB,6,28,65,0.231,15,0,3,6,0.588,4,0.311,0.277,8,3,0,21,6,0,0,2026-06-22
18,Josh Bell,MIN,7,75,275,0.247,68,9,47,39,0.703,1,0.303,0.4,21,15,0,68,6,0,0,2026-06-22
19,Nasim Nuñez,WSH,7,71,213,0.23,49,0,24,30,0.592,27,0.315,0.277,26,4,3,53,6,0,0,2026-06-22
20,Mike Trout,LAA,8,72,257,0.23,59,16,33,53,0.852,7,0.393,0.459,65,11,0,81,6,0,0,2026-06-22
21,Casey Schmitt,SF,7,68,273,0.293,80,16,41,34,0.853,7,0.322,0.531,7,15,1,57,6,0,2,2026-06-22
22,Gabriel Moreno,AZ,7,50,171,0.275,47,6,25,24,0.805,4,0.355,0.45,20,12,0,35,6,0,0,2026-06-22
23,Chase DeLauter,CLE,6,66,240,0.263,63,7,34,24,0.745,2,0.337,0.408,28,12,1,36,6,0,0,2026-06-22
24,Trevor Larnach,MIN,6,63,195,0.277,54,5,23,35,0.791,2,0.376,0.415,28,10,1,42,5,0,0,2026-06-22
25,Keibert Ruiz,WSH,5,49,157,0.28,44,6,29,22,0.783,1,0.299,0.484,4,14,0,21,5,0,0,2026-06-22
26,Isaac Paredes,HOU,6,71,252,0.238,60,10,36,31,0.755,0,0.342,0.413,30,14,0,49,5,0,0,2026-06-22
27,Brandon Lowe,PIT,6,71,274,0.245,67,18,49,46,0.842,0,0.327,0.515,33,18,1,81,5,0,0,2026-06-22
28,Francisco Alvarez,NYM,5,46,144,0.257,37,5,13,14,0.721,0,0.325,0.396,13,5,0,36,5,0,0,2026-06-22
29,Jakob Marsee,MIA,5,75,260,0.208,54,4,19,40,0.645,18,0.33,0.315,41,10,3,74,5,0,0,2026-06-22
30,Lane Thomas,KC,6,62,155,0.232,36,5,20,19,0.724,3,0.356,0.368,29,6,0,38,5,0,0,2026-06-22
31,Brandon Valenzuela,TOR,5,49,138,0.261,36,7,19,17,0.797,1,0.34,0.457,17,6,0,37,5,0,0,2026-06-22
32,Michael Harris II,ATL,6,69,248,0.306,76,14,41,35,0.856,3,0.34,0.516,12,10,0,53,5,0,0,2026-06-22
33,Jorbit Vivas,WSH,5,56,136,0.25,34,1,10,17,0.653,0,0.329,0.324,13,7,0,21,5,0,0,2026-06-22
34,Masyn Winn,STL,6,67,248,0.242,60,2,27,30,0.647,6,0.32,0.327,25,11,2,57,5,0,0,2026-06-22
35,Masataka Yoshida,BOS,5,50,145,0.248,36,1,10,15,0.66,2,0.329,0.331,15,7,1,20,5,0,0,2026-06-22
36,Konnor Griffin,PIT,4,51,189,0.27,51,4,22,30,0.729,14,0.327,0.402,14,9,2,56,4,0,0,2026-06-22
37,Oswald Peraza,LAA,4,70,221,0.267,59,7,21,22,0.744,9,0.314,0.43,9,11,2,62,4,0,0,2026-06-22
38,Henry Bolte,OAK,5,35,108,0.315,34,2,9,11,0.814,7,0.397,0.417,11,5,0,36,4,0,0,2026-06-22
39,Elias Díaz,TEX,4,20,44,0.295,13,2,9,7,0.834,0,0.311,0.523,1,4,0,9,4,0,2,2026-06-22
40,Victor Caratini,MIN,4,56,174,0.241,42,5,29,17,0.7,0,0.338,0.362,21,6,0,40,4,0,2,2026-06-22
41,Blake Dunn,CIN,5,33,124,0.282,35,2,5,19,0.736,6,0.341,0.395,9,6,1,28,4,0,0,2026-06-22
42,TJ Rumfield,COL,5,74,261,0.28,73,11,39,33,0.835,0,0.36,0.475,28,14,2,42,4,0,4,2026-06-22
43,Alec Bohm,PHI,5,72,264,0.231,61,9,41,23,0.652,1,0.281,0.371,18,10,0,41,4,0,0,2026-06-22
44,Gabriel Arias,CLE,4,13,43,0.233,10,2,5,2,0.686,0,0.267,0.419,2,2,0,18,4,0,0,2026-06-22
45,Salvador Perez,KC,5,71,279,0.208,58,10,27,27,0.594,0,0.25,0.344,12,8,0,56,4,0,0,2026-06-22
46,Bryson Stott,PHI,5,70,242,0.236,57,6,36,24,0.686,14,0.293,0.393,19,14,3,43,4,0,0,2026-06-22
47,Yandy Díaz,TB,5,70,270,0.322,87,12,48,37,0.905,1,0.401,0.504,29,11,1,41,4,0,0,2026-06-22
48,Wyatt Langford,TEX,5,34,136,0.265,36,5,13,18,0.766,4,0.31,0.456,9,7,2,32,4,0,3,2026-06-22
49,Isaac Collins,KC,5,68,212,0.226,48,3,23,27,0.66,4,0.339,0.321,32,11,0,61,4,0,4,2026-06-22
50,Juan Soto,NYM,5,59,216,0.301,65,17,38,36,0.976,6,0.397,0.579,35,7,1,33,4,0,0,2026-06-22
51,Kody Clemens,MIN,4,65,230,0.248,57,11,29,32,0.785,6,0.311,0.474,16,15,2,54,4,0,0,2026-06-22
52,Luke Keaschall,MIN,4,72,255,0.259,66,2,24,38,0.677,11,0.34,0.337,28,12,1,44,4,0,0,2026-06-22
53,Ian Happ,CHC,4,73,276,0.228,63,16,37,52,0.804,4,0.337,0.467,43,14,2,101,4,0,0,2026-06-22
54,Seiya Suzuki,CHC,4,62,227,0.269,61,10,31,35,0.803,0,0.358,0.445,29,10,0,67,4,0,0,2026-06-22
55,Cooper Pratt,MIL,5,5,16,0.375,6,0,2,2,0.764,3,0.389,0.375,1,0,0,4,4,0,0,2026-06-22
56,Nathaniel Lowe,CIN,3,58,164,0.262,43,9,25,18,0.847,0,0.353,0.494,23,11,0,45,3,0,0,2026-06-22
57,Joey Loperfido,HOU,3,29,76,0.25,19,0,7,11,0.698,1,0.356,0.342,12,7,0,22,3,0,0,2026-06-22
58,Yainer Diaz,HOU,3,29,111,0.243,27,2,15,8,0.616,0,0.265,0.351,4,6,0,19,3,0,0,2026-06-22
59,Nolan Schanuel,LAA,4,60,222,0.252,56,5,28,23,0.698,0,0.32,0.378,18,13,0,39,3,0,2,2026-06-22
60,Wade Meckler,LAA,3,26,80,0.288,23,2,13,12,0.798,2,0.36,0.438,9,6,0,19,3,0,0,2026-06-22
61,Josh Jung,TEX,4,71,275,0.305,84,8,30,36,0.818,1,0.363,0.455,22,17,0,49,3,0,0,2026-06-22
62,Ozzie Albies,ATL,4,75,289,0.284,82,12,40,50,0.788,1,0.335,0.453,22,13,0,38,3,0,0,2026-06-22
63,Josh Lowe,LAA,3,45,125,0.184,23,5,14,8,0.546,1,0.226,0.32,6,2,0,39,3,0,0,2026-06-22
64,Dillon Dingler,DET,4,69,255,0.267,68,17,53,39,0.874,0,0.337,0.537,22,14,2,59,3,0,0,2026-06-22
65,Owen Caissie,MIA,3,65,182,0.225,41,8,40,21,0.704,4,0.286,0.418,16,11,0,80,3,0,3,2026-06-22
66,Luis Rengifo,MIL,3,57,185,0.205,38,0,19,19,0.534,3,0.28,0.254,19,9,0,24,3,0,0,2026-06-22
67,Carson Benge,NYM,4,73,269,0.257,69,8,28,40,0.709,11,0.315,0.394,19,9,2,64,3,0,0,2026-06-22
68,Jac Caglianone,KC,4,71,241,0.27,65,10,24,32,0.793,3,0.341,0.452,22,12,1,79,3,2,2,2026-06-22
69,Jordan Beck,COL,3,30,82,0.183,15,1,10,7,0.532,2,0.227,0.305,5,5,1,22,3,0,0,2026-06-22
70,Edmundo Sosa,PHI,4,42,115,0.235,27,4,18,15,0.659,2,0.268,0.391,3,4,1,27,3,0,0,2026-06-22
71,Nicky Lopez,TEX,4,23,60,0.283,17,1,5,5,0.667,2,0.317,0.35,2,1,0,11,3,0,0,2026-06-22
72,Justin Crawford,PHI,3,70,213,0.244,52,2,16,21,0.638,9,0.3,0.338,15,10,2,48,3,0,2,2026-06-22
73,Dansby Swanson,CHC,3,73,240,0.183,44,8,31,43,0.617,9,0.292,0.325,37,8,1,66,3,0,0,2026-06-22
74,Ali Sánchez,NYY,3,8,16,0.313,5,0,2,2,0.728,0,0.353,0.375,1,1,0,6,3,0,0,2026-06-22
75,Michael Busch,CHC,3,76,275,0.247,68,8,42,31,0.773,2,0.377,0.396,52,13,2,74,3,0,0,2026-06-22
76,Brady House,WSH,3,44,163,0.227,37,7,25,22,0.681,1,0.282,0.399,13,7,0,50,3,0,0,2026-06-22
77,Ryan Jeffers,MIN,3,37,122,0.295,36,7,26,26,0.949,1,0.408,0.541,23,7,1,23,3,0,0,2026-06-22
78,Christian Yelich,MIL,3,43,171,0.275,47,5,24,35,0.776,5,0.349,0.427,19,9,1,54,3,0,0,2026-06-22
79,George Springer,TOR,3,55,211,0.223,47,8,21,24,0.702,6,0.313,0.389,25,11,0,43,3,0,0,2026-06-22
80,Caleb Durbin,BOS,4,67,216,0.208,45,5,29,25,0.616,7,0.264,0.352,13,14,1,33,3,0,3,2026-06-22
81,Nathan Church,STL,4,56,175,0.263,46,5,19,22,0.713,4,0.307,0.406,10,8,1,42,3,0,0,2026-06-22
82,Pavin Smith,AZ,3,16,39,0.205,8,1,5,4,0.601,0,0.319,0.282,7,0,0,12,3,0,0,2026-06-22
83,Brendan Donovan,SEA,3,25,84,0.274,23,3,8,9,0.838,1,0.386,0.452,11,4,1,15,3,0,0,2026-06-22
84,Junior Caminero,TB,3,73,275,0.284,78,15,34,44,0.869,0,0.378,0.491,43,12,0,55,3,0,0,2026-06-22
85,Mookie Betts,LAD,4,42,166,0.217,36,8,19,26,0.678,1,0.28,0.398,14,6,0,23,3,0,0,2026-06-22
86,Jonathan Aranda,TB,4,72,262,0.275,72,12,51,37,0.828,0,0.378,0.45,42,10,0,74,3,0,0,2026-06-22
87,Cedric Mullins,TB,3,65,221,0.199,44,6,21,24,0.593,12,0.285,0.308,22,4,1,49,3,0,0,2026-06-22
88,Bobby Witt Jr.,KC,3,76,299,0.294,88,10,32,40,0.833,28,0.368,0.465,35,19,1,57,3,0,3,2026-06-22
89,Starling Marte,KC,3,34,83,0.277,23,1,6,8,0.691,0,0.33,0.361,5,4,0,25,3,0,0,2026-06-22
90,Colton Cowser,BAL,4,67,159,0.226,36,7,23,25,0.698,2,0.321,0.377,22,3,0,53,3,0,0,2026-06-22
91,Royce Lewis,MIN,3,44,155,0.2,31,7,21,18,0.658,4,0.284,0.374,17,6,0,49,2,0,0,2026-06-22
92,Jung Hoo Lee,SF,2,68,260,0.331,86,4,26,39,0.823,4,0.361,0.462,11,18,2,26,2,0,0,2026-06-22
93,Jonah Cox,SF,2,14,15,0.4,6,1,2,5,1.2,2,0.4,0.8,0,1,1,7,2,0,0,2026-06-22
94,Drew Gilbert,SF,3,57,154,0.234,36,3,15,18,0.68,0,0.31,0.37,14,8,2,32,2,0,0,2026-06-22
95,Sebastián Rivero,LAA,2,24,53,0.245,13,0,8,5,0.569,0,0.286,0.283,3,2,0,12,2,0,0,2026-06-22
96,Jasson Domínguez,NYY,3,15,54,0.241,13,2,5,6,0.725,1,0.281,0.444,2,5,0,9,2,0,0,2026-06-22
97,Tommy Edman,LAD,2,3,12,0.417,5,0,0,0,0.962,0,0.462,0.5,1,1,0,2,2,0,0,2026-06-22
98,Taylor Ward,BAL,3,77,286,0.252,72,3,20,46,0.733,2,0.39,0.343,63,17,0,72,2,0,0,2026-06-22
99,Jonny DeLuca,TB,3,43,123,0.268,33,3,20,18,0.728,7,0.297,0.431,5,11,0,27,2,0,0,2026-06-22
100,Myles Straw,TOR,2,67,120,0.242,29,2,9,24,0.646,2,0.313,0.333,13,5,0,21,2,0,0,2026-06-22
101,Marcelo Mayer,BOS,2,66,193,0.223,43,3,22,18,0.599,3,0.288,0.311,16,8,0,40,2,0,2,2026-06-22
102,Cole Carrigg,COL,3,11,38,0.237,9,3,8,7,0.909,1,0.356,0.553,6,1,1,9,2,0,0,2026-06-22
103,Tommy Troy,AZ,2,23,67,0.254,17,2,4,14,0.745,0,0.342,0.403,9,2,1,14,2,0,0,2026-06-22
104,Chandler Simpson,TB,3,71,263,0.262,69,0,15,32,0.605,15,0.297,0.308,14,4,4,30,2,0,0,2026-06-22
105,Ildemaro Vargas,AZ,2,66,237,0.262,62,7,42,35,0.711,1,0.302,0.409,12,10,2,24,2,0,2,2026-06-22
106,Brenton Doyle,COL,2,43,111,0.207,23,1,4,21,0.549,9,0.279,0.27,11,4,0,40,2,0,0,2026-06-22
107,Adrian Del Castillo,AZ,2,45,132,0.189,25,4,20,11,0.566,0,0.255,0.311,12,4,0,44,2,0,0,2026-06-22
108,Luisangel Acuña,CWS,3,53,124,0.21,26,0,8,13,0.48,12,0.254,0.226,7,2,0,24,2,0,0,2026-06-22
109,Jordan Walker,STL,2,73,288,0.295,85,18,58,46,0.885,10,0.347,0.538,22,16,0,78,2,0,2,2026-06-22
110,Rikuu Nishida,CWS,2,12,29,0.241,7,0,2,3,0.482,0,0.241,0.241,0,0,0,5,2,0,0,2026-06-22
111,Blaze Jordan,STL,3,8,30,0.3,9,1,7,5,0.856,0,0.323,0.533,1,2,1,2,2,0,0,2026-06-22
112,Alex Bregman,CHC,2,76,300,0.25,75,6,25,36,0.693,2,0.343,0.35,38,10,1,55,2,0,0,2026-06-22
113,Marcell Ozuna,PIT,2,53,196,0.199,39,6,24,16,0.592,0,0.276,0.316,19,5,0,63,2,0,0,2026-06-22
114,Wilyer Abreu,BOS,2,73,284,0.275,78,9,36,33,0.767,5,0.334,0.433,27,16,1,61,2,0,0,2026-06-22
115,Joey Ortiz,MIL,2,64,155,0.206,32,1,14,18,0.552,5,0.294,0.258,20,5,0,30,2,0,0,2026-06-22
116,Lawrence Butler,OAK,2,69,189,0.196,37,5,20,26,0.583,5,0.276,0.307,21,6,0,55,2,0,0,2026-06-22
117,Jackson Chourio,MIL,3,40,171,0.304,52,10,29,29,0.908,5,0.358,0.55,14,12,0,44,2,0,0,2026-06-22
118,Jose Altuve,HOU,2,55,209,0.239,50,8,20,33,0.72,1,0.313,0.407,22,11,0,53,2,0,0,2026-06-22
119,Andrew Vaughn,MIL,2,37,108,0.352,38,2,20,15,0.963,0,0.435,0.528,14,11,1,14,2,0,0,2026-06-22
120,Noelvi Marte,CIN,3,23,67,0.209,14,3,3,7,0.652,4,0.264,0.388,5,3,0,18,2,0,0,2026-06-22
121,Austin Hays,CWS,2,12,43,0.233,10,1,7,3,0.576,0,0.25,0.326,1,1,0,13,2,0,0,2026-06-22
122,Enrique Hernández,LAD,2,2,4,1.0,4,1,2,2,3.25,0,1.0,2.25,0,2,0,0,2,0,2,2026-06-22
123,Andrés Giménez,TOR,2,73,241,0.232,56,7,33,21,0.647,10,0.274,0.373,8,11,1,52,2,0,0,2026-06-22
124,Anthony Seigler,BOS,2,3,7,0.286,2,0,0,1,0.804,0,0.375,0.429,1,1,0,3,2,0,0,2026-06-22
125,Carson Kelly,CHC,2,56,177,0.282,50,4,26,25,0.752,0,0.362,0.39,19,7,0,34,2,0,2,2026-06-22
126,Andrés Chaparro,WSH,2,20,32,0.188,6,0,5,5,0.647,0,0.366,0.281,9,3,0,8,2,0,0,2026-06-22
127,Trea Turner,PHI,3,74,301,0.226,68,7,22,46,0.614,15,0.278,0.336,20,12,0,72,2,0,0,2026-06-22
128,Travis d'Arnaud,LAA,2,14,35,0.2,7,1,3,5,0.614,0,0.3,0.314,3,1,0,7,2,0,0,2026-06-22
129,Kyle Schwarber,PHI,3,73,279,0.254,71,28,49,49,0.963,1,0.368,0.595,46,9,1,112,2,0,0,2026-06-22
130,Francisco Lindor,NYM,2,24,93,0.226,21,2,5,14,0.669,2,0.314,0.355,11,2,2,19,2,0,2,2026-06-22
131,John Rave,KC,2,3,6,0.5,3,1,1,3,2.167,0,0.667,1.5,3,1,1,1,2,0,0,2026-06-22
132,Dylan Beavers,BAL,2,33,103,0.243,25,2,12,16,0.7,3,0.331,0.369,14,7,0,28,2,0,0,2026-06-22
133,Byron Buxton,MIN,3,66,271,0.273,74,24,40,52,0.927,7,0.333,0.594,22,13,1,76,2,0,0,2026-06-22
134,Sam Huff,BAL,2,7,18,0.222,4,0,1,1,0.555,0,0.222,0.333,0,2,0,8,2,0,0,2026-06-22
135,Luis Torrens,NYM,3,46,128,0.219,28,1,15,15,0.583,0,0.27,0.313,5,9,0,29,2,0,0,2026-06-22
136,Nick Castellanos,SD,2,39,115,0.191,22,4,20,9,0.56,2,0.221,0.339,5,5,0,34,2,0,0,2026-06-22
137,Jordan Lawlar,AZ,2,12,38,0.316,12,1,4,6,0.856,4,0.409,0.447,3,2,0,10,2,0,0,2026-06-22
138,Miles Mastrobuoni,SEA,2,8,23,0.217,5,0,1,3,0.486,0,0.269,0.217,2,0,0,10,2,0,0,2026-06-22
139,Josh Smith,TEX,2,34,101,0.218,22,0,6,6,0.564,2,0.316,0.248,14,3,0,22,2,0,0,2026-06-22
140,Otto Lopez,MIA,3,76,301,0.332,100,5,32,47,0.829,15,0.364,0.465,14,19,3,47,2,0,0,2026-06-22
141,Heriberto Hernández,MIA,2,49,146,0.233,34,7,28,15,0.706,5,0.302,0.404,14,2,1,41,2,0,0,2026-06-22
142,Ryan McMahon,NYY,2,68,184,0.212,39,8,23,19,0.635,3,0.271,0.364,15,4,0,61,2,0,0,2026-06-22
143,Juan Brito,CLE,2,15,51,0.176,9,0,3,7,0.505,0,0.25,0.255,4,4,0,17,2,0,0,2026-06-22
144,Ronny Mauricio,NYM,2,10,32,0.219,7,1,2,3,0.532,0,0.219,0.313,0,0,0,12,2,0,0,2026-06-22
145,Taylor Walls,TB,3,57,165,0.218,36,0,18,24,0.606,12,0.321,0.285,24,7,2,49,2,0,0,2026-06-22
146,Zach Neto,LAA,3,75,297,0.226,67,16,37,53,0.779,11,0.328,0.451,39,15,2,110,2,0,2,2026-06-22
147,Jose Siri,LAA,3,29,60,0.283,17,4,16,14,0.876,0,0.343,0.533,5,3,0,17,2,0,2,2026-06-22
148,Denzer Guzman,LAA,3,11,45,0.244,11,2,8,5,0.714,1,0.292,0.422,3,2,0,9,2,2,2,2026-06-22
149,Patrick Bailey,CLE,2,51,143,0.182,26,2,10,12,0.493,2,0.234,0.259,10,3,1,40,2,0,0,2026-06-22
150,Ryan Kreidler,MIN,3,35,74,0.27,20,4,18,15,0.892,0,0.365,0.527,10,3,2,17,2,0,2,2026-06-22
